frame,timestamp_ms,pose_detected,lm_0_x,lm_0_y,lm_0_z,lm_0_visibility,lm_0_presence,lm_1_x,lm_1_y,lm_1_z,lm_1_visibility,lm_1_presence,lm_2_x,lm_2_y,lm_2_z,lm_2_visibility,lm_2_presence,lm_3_x,lm_3_y,lm_3_z,lm_3_visibility,lm_3_presence,lm_4_x,lm_4_y,lm_4_z,lm_4_visibility,lm_4_presence,lm_5_x,lm_5_y,lm_5_z,lm_5_visibility,lm_5_presence,lm_6_x,lm_6_y,lm_6_z,lm_6_visibility,lm_6_presence,lm_7_x,lm_7_y,lm_7_z,lm_7_visibility,lm_7_presence,lm_8_x,lm_8_y,lm_8_z,lm_8_visibility,lm_8_presence,lm_9_x,lm_9_y,lm_9_z,lm_9_visibility,lm_9_presence,lm_10_x,lm_10_y,lm_10_z,lm_10_visibility,lm_10_presence,lm_11_x,lm_11_y,lm_11_z,lm_11_visibility,lm_11_presence,lm_12_x,lm_12_y,lm_12_z,lm_12_visibility,lm_12_presence,lm_13_x,lm_13_y,lm_13_z,lm_13_visibility,lm_13_presence,lm_14_x,lm_14_y,lm_14_z,lm_14_visibility,lm_14_presence,lm_15_x,lm_15_y,lm_15_z,lm_15_visibility,lm_15_presence,lm_16_x,lm_16_y,lm_16_z,lm_16_visibility,lm_16_presence,lm_17_x,lm_17_y,lm_17_z,lm_17_visibility,lm_17_presence,lm_18_x,lm_18_y,lm_18_z,lm_18_visibility,lm_18_presence,lm_19_x,lm_19_y,lm_19_z,lm_19_visibility,lm_19_presence,lm_20_x,lm_20_y,lm_20_z,lm_20_visibility,lm_20_presence,lm_21_x,lm_21_y,lm_21_z,lm_21_visibility,lm_21_presence,lm_22_x,lm_22_y,lm_22_z,lm_22_visibility,lm_22_presence,lm_23_x,lm_23_y,lm_23_z,lm_23_visibility,lm_23_presence,lm_24_x,lm_24_y,lm_24_z,lm_24_visibility,lm_24_presence,lm_25_x,lm_25_y,lm_25_z,lm_25_visibility,lm_25_presence,lm_26_x,lm_26_y,lm_26_z,lm_26_visibility,lm_26_presence,lm_27_x,lm_27_y,lm_27_z,lm_27_visibility,lm_27_presence,lm_28_x,lm_28_y,lm_28_z,lm_28_visibility,lm_28_presence,lm_29_x,lm_29_y,lm_29_z,lm_29_visibility,lm_29_presence,lm_30_x,lm_30_y,lm_30_z,lm_30_visibility,lm_30_presence,lm_31_x,lm_31_y,lm_31_z,lm_31_visibility,lm_31_presence,lm_32_x,lm_32_y,lm_32_z,lm_32_visibility,lm_32_presence
10,340,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,374,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,408,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,442,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,476,True,0.5042321085929871,0.21588405966758728,-0.29855450987815857,0.9996168613433838,0.9999332427978516,0.4993976056575775,0.21475008130073547,-0.3310256600379944,0.9994296431541443,0.9998403787612915,0.4957219958305359,0.21493199467658997,-0.3311293423175812,0.9994943141937256,0.9998290538787842,0.49054259061813354,0.21510645747184753,-0.3311213254928589,0.999423623085022,0.9998106360435486,0.5112113356590271,0.21534231305122375,-0.3297441899776459,0.9993160963058472,0.9998346567153931,0.5147761106491089,0.21577778458595276,-0.3297853469848633,0.9991559982299805,0.9998162388801575,0.5186352133750916,0.2161504030227661,-0.3297106623649597,0.9991672039031982,0.9997904896736145,0.4846884310245514,0.22114035487174988,-0.3826819658279419,0.9989537000656128,0.9997039437294006,0.5237443447113037,0.2210204154253006,-0.3769896924495697,0.9992831349372864,0.9996950626373291,0.4975284934043884,0.21978649497032166,-0.3063823878765106,0.9995321035385132,0.9998643398284912,0.5117420554161072,0.22036902606487274,-0.3045947253704071,0.9994149208068848,0.9998623132705688,0.4517441689968109,0.24041995406150818,-0.32316216826438904,0.998775064945221,0.9991881251335144,0.5592412948608398,0.23832745850086212,-0.3103020191192627,0.9993501305580139,0.9992671608924866,0.42304208874702454,0.19950032234191895,-0.2818194031715393,0.9162537455558777,0.9998542070388794,0.5785946249961853,0.19345790147781372,-0.27341505885124207,0.9554658532142639,0.9999043941497803,0.4457230567932129,0.15790782868862152,-0.3316620886325836,0.9451310634613037,0.9997053742408752,0.5698434114456177,0.15595878660678864,-0.3054159879684448,0.9802164435386658,0.9997428059577942,0.44041532278060913,0.15210822224617004,-0.3861030042171478,0.9288567900657654,0.9992794394493103,0.5696420073509216,0.151564821600914,-0.35293418169021606,0.9666605591773987,0.9994250535964966,0.44906386733055115,0.15157680213451385,-0.40396225452423096,0.9295515418052673,0.9993808269500732,0.5607737302780151,0.15151581168174744,-0.37955141067504883,0.9673458933830261,0.9994550347328186,0.4539484679698944,0.1532001942396164,-0.3430550992488861,0.915992021560669,0.9995930790901184,0.5614608526229858,0.15313448011875153,-0.3195383548736572,0.9575650691986084,0.9996235370635986,0.4759436845779419,0.2923959195613861,-0.01075716782361269,0.9997925162315369,0.9999521970748901,0.5345541834831238,0.29860013723373413,0.01085267961025238,0.99993896484375,0.9999574422836304,0.469929575920105,0.22874906659126282,0.15540865063667297,0.44171780347824097,0.9996926784515381,0.5717546343803406,0.29429057240486145,0.12209324538707733,0.6226605772972107,0.9995601773262024,0.4657934904098511,0.19638928771018982,0.3681381642818451,0.7434321641921997,0.9997808337211609,0.5619587302207947,0.29497402906417847,0.36888694763183594,0.7751204967498779,0.9996013045310974,0.4675356149673462,0.1961851716041565,0.3863094449043274,0.69194495677948,0.999693751335144,0.5551730394363403,0.2944320738315582,0.3919687569141388,0.7060818076133728,0.9994198083877563,0.45929017663002014,0.17634043097496033,0.32971617579460144,0.795405924320221,0.9994961023330688,0.5678234696388245,0.29461124539375305,0.32840198278427124,0.7969712615013123,0.9992393255233765
15,510,True,0.5042310357093811,0.21648173034191132,-0.37242698669433594,0.9996507167816162,0.9999958276748657,0.4993966519832611,0.21621517837047577,-0.4003782868385315,0.9994694590568542,0.9999912977218628,0.4957197308540344,0.21627624332904816,-0.4004041850566864,0.9995359182357788,0.9999898672103882,0.4906863868236542,0.21635465323925018,-0.40027037262916565,0.9994625449180603,0.9999884366989136,0.5112088322639465,0.21667766571044922,-0.39568066596984863,0.9993710517883301,0.9999927282333374,0.5148118734359741,0.21695366501808167,-0.39571458101272583,0.9992279410362244,0.9999924898147583,0.5186377763748169,0.217112734913826,-0.39562398195266724,0.9992308616638184,0.9999922513961792,0.4847131073474884,0.2218555212020874,-0.4238089621067047,0.9990348815917969,0.999981164932251,0.5239579677581787,0.2218049019575119,-0.3984999656677246,0.9993456602096558,0.9999898672103882,0.4975810945034027,0.22046928107738495,-0.37044066190719604,0.999565839767456,0.9999867677688599,0.5117629766464233,0.22102007269859314,-0.3631703555583954,0.9994598031044006,0.9999896287918091,0.4520711302757263,0.24048972129821777,-0.3460821807384491,0.9988546371459961,0.9999245405197144,0.5591943264007568,0.23844459652900696,-0.34151360392570496,0.9994051456451416,0.9999617338180542,0.4230521321296692,0.1997881978750229,-0.3556981384754181,0.9241536855697632,0.9999910593032837,0.5787081122398376,0.19429589807987213,-0.3544982373714447,0.9594882130622864,0.9999969005584717,0.4444686472415924,0.15809032320976257,-0.4464714825153351,0.9500794410705566,0.9999780654907227,0.5693289637565613,0.15572072565555573,-0.4451308250427246,0.9819076061248779,0.9999908208847046,0.43751975893974304,0.1510346233844757,-0.4950540363788605,0.934905469417572,0.9999420642852783,0.5696136951446533,0.1489952951669693,-0.49587762355804443,0.969182550907135,0.9999768733978271,0.44785892963409424,0.1507294625043869,-0.5101498365402222,0.9353742003440857,0.999951958656311,0.5608377456665039,0.15024138987064362,-0.5121490955352783,0.9697556495666504,0.999975323677063,0.4503871500492096,0.15310488641262054,-0.4547986388206482,0.9226840734481812,0.9999691247940063,0.5604040622711182,0.15214630961418152,-0.45550957322120667,0.9608046412467957,0.9999852180480957,0.47658076882362366,0.29606881737709045,0.015552847646176815,0.9998121857643127,0.9999935626983643,0.5329344272613525,0.30216124653816223,-0.015564351342618465,0.9999449849128723,0.9999988079071045,0.5084988474845886,0.25402870774269104,0.1549881249666214,0.48528239130973816,0.9999758005142212,0.5459902882575989,0.35274481773376465,0.08306180685758591,0.658594012260437,0.9999791383743286,0.5169023871421814,0.20915798842906952,0.3891870677471161,0.7621985077857971,0.9999724626541138,0.5129185318946838,0.39972397685050964,0.2841271758079529,0.7957251071929932,0.9998601675033569,0.52549809217453,0.2030942738056183,0.41203510761260986,0.7170959115028381,0.9999393224716187,0.5002961754798889,0.4048681855201721,0.3033066689968109,0.7315848469734192,0.9995872378349304,0.5041067600250244,0.19591543078422546,0.40915951132774353,0.8111202716827393,0.9998807907104492,0.5183296203613281,0.41288524866104126,0.24806520342826843,0.8155561089515686,0.9992827773094177
16,544,True,0.5048010945320129,0.22134840488433838,-0.3402597904205322,0.9996791481971741,0.9999921321868896,0.4997049570083618,0.22007706761360168,-0.36993545293807983,0.9994983077049255,0.9999833106994629,0.4958648681640625,0.21994838118553162,-0.36999574303627014,0.9995694756507874,0.999981164932251,0.4910680949687958,0.21990899741649628,-0.3699261248111725,0.9994909167289734,0.99997878074646,0.5119849443435669,0.22097161412239075,-0.3670944273471832,0.9994150996208191,0.999984860420227,0.5159955620765686,0.2214096039533615,-0.3671325147151947,0.9992871284484863,0.9999839067459106,0.5198132991790771,0.2217259407043457,-0.36705127358436584,0.9992789030075073,0.9999825954437256,0.48501142859458923,0.22496525943279266,-0.4208661913871765,0.9991002678871155,0.9999639987945557,0.5255072116851807,0.2264460325241089,-0.37841174006462097,0.9993981122970581,0.9999734163284302,0.49785786867141724,0.22410237789154053,-0.3432711362838745,0.9995908141136169,0.9999747276306152,0.5126793384552002,0.2252187281847,-0.33886027336120605,0.9994922876358032,0.9999769926071167,0.4532076120376587,0.24439553916454315,-0.34111130237579346,0.9988899230957031,0.9998525381088257,0.5593205094337463,0.24409036338329315,-0.3369380831718445,0.9994432926177979,0.999879002571106,0.4230499565601349,0.2011663019657135,-0.3267466723918915,0.9310950040817261,0.9999847412109375,0.5794029831886292,0.19851121306419373,-0.3284413516521454,0.9631271958351135,0.9999915361404419,0.4438299834728241,0.15932217240333557,-0.3960025906562805,0.9544156193733215,0.9999603033065796,0.5693283677101135,0.15652689337730408,-0.39672431349754333,0.9834016561508179,0.9999722242355347,0.43648189306259155,0.15094855427742004,-0.44369685649871826,0.9402323365211487,0.9998966455459595,0.5694635510444641,0.14917773008346558,-0.44316452741622925,0.9714025855064392,0.9999362230300903,0.44705772399902344,0.1506762057542801,-0.4597853720188141,0.940542995929718,0.9999096393585205,0.5611388683319092,0.15027101337909698,-0.46142280101776123,0.9718818068504333,0.999931812286377,0.45051342248916626,0.15317727625370026,-0.4049552083015442,0.928677499294281,0.9999417066574097,0.5605764389038086,0.15215960144996643,-0.4076462984085083,0.9636329412460327,0.9999568462371826,0.4793514311313629,0.30776897072792053,0.016053948551416397,0.9998288154602051,0.9999891519546509,0.5312587022781372,0.31436222791671753,-0.016116227954626083,0.9999502897262573,0.9999964237213135,0.5056381821632385,0.2614820599555969,0.14214515686035156,0.5226624608039856,0.9999395608901978,0.5377962589263916,0.37117499113082886,0.060316961258649826,0.6907740831375122,0.9999293088912964,0.5139209628105164,0.21815955638885498,0.35433053970336914,0.77915358543396,0.9999194145202637,0.4814806282520294,0.41566014289855957,0.2354149967432022,0.8138337731361389,0.999653697013855,0.5227286219596863,0.2128918170928955,0.374225914478302,0.7392038702964783,0.9998296499252319,0.46856236457824707,0.4202544689178467,0.25120091438293457,0.753294050693512,0.9990193843841553,0.5015588402748108,0.20280671119689941,0.375191867351532,0.8249955773353577,0.9996894598007202,0.49058622121810913,0.4286678433418274,0.18639060854911804,0.8316681981086731,0.9984341263771057
17,578,True,0.505041778087616,0.2254597693681717,-0.2907065153121948,0.9996902346611023,0.9999743700027466,0.4998217821121216,0.22354242205619812,-0.31582286953926086,0.9994859099388123,0.9999483823776245,0.4959416389465332,0.2236069142818451,-0.31586313247680664,0.9995588660240173,0.999946117401123,0.4913346469402313,0.2236775904893875,-0.3157908618450165,0.9994799494743347,0.9999415874481201,0.5124403238296509,0.22455009818077087,-0.3176385760307312,0.9994192719459534,0.9999395608901978,0.5167555809020996,0.22501008212566376,-0.3177131712436676,0.9992946982383728,0.9999310970306396,0.5206089615821838,0.2253631055355072,-0.31765344738960266,0.9992703795433044,0.9999172687530518,0.48567909002304077,0.22865545749664307,-0.3523983359336853,0.9991008043289185,0.9998917579650879,0.526469349861145,0.22996215522289276,-0.35350945591926575,0.9993720054626465,0.9998294115066528,0.4983137845993042,0.22955811023712158,-0.29244890809059143,0.9995506405830383,0.9998935461044312,0.5135276913642883,0.23020677268505096,-0.2944432199001312,0.9994062185287476,0.9998494386672974,0.4548307955265045,0.24644367396831512,-0.30208489298820496,0.9988495707511902,0.9996271133422852,0.5599883794784546,0.2468864917755127,-0.33209577202796936,0.9994447231292725,0.9989181756973267,0.42407628893852234,0.20165228843688965,-0.32087287306785583,0.9375118017196655,0.9999496936798096,0.5796130895614624,0.20035597681999207,-0.38711419701576233,0.9663138389587402,0.999873161315918,0.4439734220504761,0.1596902310848236,-0.3948582112789154,0.9584465026855469,0.9999089241027832,0.5693320035934448,0.15651877224445343,-0.4540593922138214,0.984415590763092,0.9997966885566711,0.4385315775871277,0.15088774263858795,-0.43635261058807373,0.9450071454048157,0.9997950196266174,0.5695232152938843,0.14885172247886658,-0.5012623071670532,0.9723811745643616,0.9996956586837769,0.4470768868923187,0.15049561858177185,-0.44627273082733154,0.94521164894104,0.999808132648468,0.5615561008453369,0.14969301223754883,-0.5024293661117554,0.9726799130439758,0.9996945858001709,0.45110633969306946,0.15318706631660461,-0.4009801745414734,0.9340241551399231,0.9998730421066284,0.5607761144638062,0.15174996852874756,-0.45820385217666626,0.9640648365020752,0.999752938747406,0.48623955249786377,0.3207949995994568,0.031271398067474365,0.9998285174369812,0.9999240636825562,0.5311337113380432,0.3278334140777588,-0.03143182024359703,0.9999508857727051,0.9999172687530518,0.5185869336128235,0.30744922161102295,0.1961594521999359,0.5257073640823364,0.9992406368255615,0.533284068107605,0.3855533003807068,0.08021005988121033,0.7182087898254395,0.9994502663612366,0.5307503342628479,0.3017009496688843,0.4484032392501831,0.7774201035499573,0.9991971850395203,0.4801570773124695,0.43002432584762573,0.27786973118782043,0.8283146619796753,0.9985778331756592,0.5352662205696106,0.3031299114227295,0.4722282886505127,0.7423951029777527,0.9988797307014465,0.470297247171402,0.4356898367404938,0.2961668074131012,0.7686190605163574,0.9973117113113403,0.5339062809944153,0.29974085092544556,0.45799267292022705,0.821561872959137,0.9989435076713562,0.476551353931427,0.4459516406059265,0.23930081725120544,0.8424230813980103,0.9973210692405701
18,612,True,0.5054280757904053,0.2275065928697586,-0.22227296233177185,0.9997029900550842,0.9999727010726929,0.5000602602958679,0.22594456374645233,-0.24439404904842377,0.9994655847549438,0.9999487400054932,0.496137410402298,0.22627954185009003,-0.24438826739788055,0.9995418787002563,0.9999455213546753,0.49179530143737793,0.22656655311584473,-0.2443544864654541,0.9994555711746216,0.9999396800994873,0.5132127404212952,0.2260752171278,-0.2540079653263092,0.9994291067123413,0.9999423027038574,0.5177819132804871,0.22652141749858856,-0.25408846139907837,0.9993105530738831,0.9999340772628784,0.5216591954231262,0.22689715027809143,-0.2540510296821594,0.9992640614509583,0.9999194145202637,0.4864780306816101,0.23168806731700897,-0.2803278863430023,0.9990881085395813,0.9998908042907715,0.5273715257644653,0.2328159362077713,-0.322175532579422,0.9993587732315063,0.9998354911804199,0.4987108111381531,0.23185846209526062,-0.22555406391620636,0.999514639377594,0.9998880624771118,0.5142042636871338,0.23201660811901093,-0.2379118800163269,0.9993230104446411,0.9998449087142944,0.45780104398727417,0.25110921263694763,-0.22025784850120544,0.9987785220146179,0.9996262788772583,0.5604310035705566,0.25059598684310913,-0.3317544162273407,0.999449610710144,0.999037504196167,0.428556352853775,0.20318910479545593,-0.22016167640686035,0.9414112567901611,0.9999555349349976,0.5796067714691162,0.20431730151176453,-0.3990638256072998,0.9684497714042664,0.9999163150787354,0.4442788362503052,0.1602047085762024,-0.28780752420425415,0.960901141166687,0.9998569488525391,0.5669612288475037,0.15721145272254944,-0.4434759020805359,0.9841012954711914,0.9997434020042419,0.4385662376880646,0.15104010701179504,-0.31854692101478577,0.9480201601982117,0.9996814727783203,0.5694414377212524,0.1488974690437317,-0.4946170449256897,0.9713789224624634,0.9995811581611633,0.4472271502017975,0.15058042109012604,-0.33730918169021606,0.9482291340827942,0.9996527433395386,0.5615171194076538,0.14972402155399323,-0.4956541657447815,0.9714847803115845,0.9995610117912292,0.4509064853191376,0.15342269837856293,-0.29882025718688965,0.9373800158500671,0.9997735619544983,0.5592694878578186,0.15199699997901917,-0.4483366310596466,0.9618844985961914,0.9996433258056641,0.4957350492477417,0.33603012561798096,0.059790462255477905,0.9998340010643005,0.999946117401123,0.5319039821624756,0.3432620167732239,-0.05998252332210541,0.9999528527259827,0.999948263168335,0.5489242672920227,0.3243532180786133,0.18370740115642548,0.5476962327957153,0.9992409944534302,0.5067080855369568,0.4063960015773773,-0.009072750806808472,0.745550811290741,0.9994339346885681,0.5927935838699341,0.31744593381881714,0.4281015992164612,0.7886898517608643,0.9985951781272888,0.4180642068386078,0.45123377442359924,0.1453256607055664,0.8440210223197937,0.9985008239746094,0.6007905602455139,0.3196541965007782,0.44050323963165283,0.7517312169075012,0.9980680346488953,0.4050102233886719,0.4524718225002289,0.15850739181041718,0.7864195704460144,0.9972807168960571,0.6013718247413635,0.3116856515407562,0.4034140408039093,0.8252951502799988,0.9980461597442627,0.4071936011314392,0.4726310670375824,0.07418642193078995,0.8546301126480103,0.9969583749771118
19,646,True,0.5063528418540955,0.2300720512866974,-0.23011785745620728,0.9997064471244812,0.9999661445617676,0.500777542591095,0.22871753573417664,-0.2520151138305664,0.9994596242904663,0.9999383687973022,0.49676641821861267,0.22911933064460754,-0.25201746821403503,0.999525785446167,0.9999369382858276,0.4927472770214081,0.22944943606853485,-0.2520020306110382,0.9994485974311829,0.9999289512634277,0.513886034488678,0.22839562594890594,-0.26728376746177673,0.9994454383850098,0.9999347925186157,0.5185298323631287,0.2287292778491974,-0.2674168348312378,0.9993406534194946,0.9999277591705322,0.5227852463722229,0.2293509542942047,-0.2674206495285034,0.9992865920066833,0.9999167919158936,0.4879109263420105,0.234971284866333,-0.28449124097824097,0.9990636706352234,0.9998779296875,0.5278604626655579,0.23569825291633606,-0.3404019773006439,0.9993531703948975,0.9998584985733032,0.5003395676612854,0.23503509163856506,-0.23114876449108124,0.9994695782661438,0.9998792409896851,0.5155625939369202,0.23512625694274902,-0.25049760937690735,0.999248743057251,0.9998512268066406,0.46008047461509705,0.25518807768821716,-0.19652506709098816,0.9987344741821289,0.9996422529220581,0.5610615015029907,0.2551361620426178,-0.37255197763442993,0.9994401931762695,0.9992761015892029,0.43641459941864014,0.2045397311449051,-0.174904003739357,0.9443538188934326,0.9999438524246216,0.5796666741371155,0.20610085129737854,-0.4373059868812561,0.9707091450691223,0.9998726844787598,0.44505661725997925,0.16046254336833954,-0.2574794888496399,0.9630192518234253,0.9997871518135071,0.5669304728507996,0.15773902833461761,-0.47167062759399414,0.9840080142021179,0.9995502829551697,0.44085535407066345,0.1513638198375702,-0.29254886507987976,0.9506766200065613,0.9995629191398621,0.5695043802261353,0.14901477098464966,-0.5320594906806946,0.9712889194488525,0.9992838501930237,0.44746124744415283,0.15076890587806702,-0.3195260167121887,0.9508354067802429,0.999535083770752,0.5617968440055847,0.1497637778520584,-0.5347046852111816,0.9712531566619873,0.9992794394493103,0.45194464921951294,0.1536327749490738,-0.27306318283081055,0.9403475522994995,0.9996788501739502,0.5593106746673584,0.15220773220062256,-0.476909339427948,0.9609063267707825,0.9993826150894165,0.5029948353767395,0.3516945242881775,0.08244408667087555,0.999832272529602,0.9999091625213623,0.5344371199607849,0.3553166389465332,-0.08251596242189407,0.9999420046806335,0.999903678894043,0.5347476005554199,0.3794664442539215,0.21272724866867065,0.5664405822753906,0.9993636012077332,0.5349922180175781,0.41273221373558044,-0.015552204102277756,0.7694064974784851,0.9995638728141785,0.49254199862480164,0.40071186423301697,0.3888123333454132,0.8011542558670044,0.9991449117660522,0.4637940227985382,0.4392847418785095,0.12743142247200012,0.858466386795044,0.9994497895240784,0.4880102276802063,0.4052312970161438,0.3939826488494873,0.7642218470573425,0.998859167098999,0.44945427775382996,0.4402328431606293,0.14051049947738647,0.8048949241638184,0.9992300271987915,0.4884323477745056,0.4055747389793396,0.310247004032135,0.8284828066825867,0.9985260963439941,0.4704802632331848,0.45498761534690857,0.046952974051237106,0.865723729133606,0.9990366697311401
